pk,pk,strength
1020477,1018511,3165
1020633,1018511,11232
1020851,1018511,3165
1020933,1018511,3165
1020983,1018511,2678
1020983,1018511,10044
1021155,1018511,3165
1021780,1018511,2678
1021780,1018511,3165
1021799,1018511,13119
1021888,1018511,13484
1021984,1018511,3165
1022111,1018511,12966
1022142,1018511,6697
1022345,1018511,3165
1023342,1018511,12996
1023354,1018511,12966
1023674,1018511,3106
1023979,1018511,19267
1024036,1018511,12966
1024050,1018511,2678
1024050,1018511,8157
1024260,1018511,2678
1024260,1018511,3165
1024264,1018511,2678
1024264,1018511,3165
1024364,1018511,6087
1024481,1018511,12815
1024646,1018511,9618
1024702,1018511,11597
1024774,1018511,5418
1024884,1018511,8401
1025272,1018511,12966
1025772,1018511,12996
1026032,1018511,4565
1026143,1018511,12996
1027197,1018511,2922
1027491,1018511,12966
1027598,1018511,5479
1028025,1018511,12266
1028448,1018511,12966
1029015,1018511,15311
1029226,1018511,13423
1029382,1018511,12935
1029400,1018511,6696
1030126,1018511,12570
1067955,1018511,2678
1067955,1018511,3165
1087976,1018511,12601
1139836,1018511,10258
1172258,1018511,12358
1184758,1018511,2678
1184758,1018511,3165
1224524,1018511,10317
1311026,1018511,2678
1311026,1018511,3165
1330635,1018511,11079
1378757,1018511,12266
1423769,1018511,2678
1423769,1018511,3165
1020385,1018539,1400
1020385,1018539,12966
1020419,1018539,548
1020419,1018539,12966
1020446,1018539,456
1020446,1018539,12966
1020507,1018539,456
1020507,1018539,12966
1020815,1018539,456
1020815,1018539,14975
1021162,1018539,456
1021162,1018539,12966
1021690,1018539,456
1021690,1018539,12966
1022591,1018539,12966
1022598,1018539,12966
1022608,1018539,12966
1023304,1018539,456
1023304,1018539,12966
1026099,1018539,456
1026099,1018539,12966
1026480,1018539,2588
1026480,1018539,12966
1027851,1018539,13027
1029079,1018539,12966
1029601,1018539,456
1029601,1018539,12966
1029650,1018539,456
1029650,1018539,12966
1029692,1018539,456
1029692,1018539,12966
1030018,1018539,456
1030018,1018539,12966
1026400,1018654,12905
1026400,1018654,13088
1027804,1018654,11444
1027804,1018654,12478
1191243,1018654,12053
1018822,1018688,9162
1019395,1018688,6240
1020356,1018688,10897
1020820,1018688,7640
1021266,1018688,6240
1023736,1018688,6240
1025571,1018688,6240
1027236,1018688,6240
1027301,1018688,6240
1277749,1018688,6240
1018732,1018695,151
1018732,1018695,2741
1018980,1018695,151
1018980,1018695,2741
1019120,1018695,151
1019120,1018695,2741
1019183,1018695,151
1019183,1018695,2741
1019334,1018695,151
1019334,1018695,2741
1019541,1018695,151
1019541,1018695,2741
1020215,1018695,151
1020215,1018695,2741
1020960,1018695,151
1020960,1018695,2741
1021184,1018695,151
1021184,1018695,2741
1021192,1018695,151
1021192,1018695,2131
1021257,1018695,151
1021257,1018695,2741
1021389,1018695,151
1021389,1018695,2741
1022509,1018695,151
1022509,1018695,2741
1022709,1018695,151
1022709,1018695,2741
1022920,1018695,151
1022920,1018695,2741
1022938,1018695,151
1022938,1018695,2741
1022952,1018695,151
1022952,1018695,2741
1023156,1018695,151
1023156,1018695,2741
1023362,1018695,151
1023362,1018695,2741
1023763,1018695,151
1023763,1018695,2741
1023836,1018695,151
1023836,1018695,2376
1024241,1018695,151
1024241,1018695,2741
1024286,1018695,151
1024286,1018695,2741
1024709,1018695,151
1024709,1018695,2741
1024792,1018695,151
1024792,1018695,2741
1024834,1018695,151
1024834,1018695,2741
1025549,1018695,151
1025549,1018695,2741
1025603,1018695,151
1025603,1018695,2741
1025666,1018695,151
1025666,1018695,2741
1025701,1018695,151
1025701,1018695,2131
1025757,1018695,151
1025757,1018695,2741
1025998,1018695,151
1025998,1018695,2741
1026034,1018695,151
1026034,1018695,2741
1026120,1018695,151
1026120,1018695,2741
1026301,1018695,151
1026301,1018695,2741
1026332,1018695,151
1026332,1018695,2741
1026334,1018695,151
1026334,1018695,2741
1027399,1018695,151
1027399,1018695,2741
1027538,1018695,151
1027538,1018695,2741
1027569,1018695,151
1027569,1018695,2741
1027647,1018695,151
1027647,1018695,2741
1028233,1018695,151
1028233,1018695,2741
1028607,1018695,151
1028607,1018695,2741
1028723,1018695,151
1028723,1018695,2741
1029180,1018695,151
1029180,1018695,2741
1029223,1018695,151
1029223,1018695,2741
1029405,1018695,151
1029405,1018695,2741
1029678,1018695,151
1029678,1018695,2741
1029714,1018695,151
1029714,1018695,2741
1029793,1018695,151
1029793,1018695,2741
1030079,1018695,151
1030079,1018695,2131
1042098,1018695,151
1042098,1018695,2741
1047817,1018695,151
1047817,1018695,2741
1064235,1018695,151
1064235,1018695,2253
1097986,1018695,151
1097986,1018695,2741
1113636,1018695,151
1113636,1018695,2284
1134091,1018695,151
1138092,1018695,151
1138092,1018695,2741
1155255,1018695,151
1232791,1018695,151
1232791,1018695,2406
1262720,1018695,151
1262720,1018695,2741
1266560,1018695,151
1266560,1018695,2741
1312311,1018695,151
1312311,1018695,2223
1327619,1018695,151
1327619,1018695,2741
1353136,1018695,151
1353136,1018695,2223
1381926,1018695,151
1381926,1018695,2741
1405453,1018695,151
1405453,1018695,2131
1408187,1018695,2131
1409157,1018695,151
1409157,1018695,2741
1426069,1018695,151
1426069,1018695,2465
1432708,1018695,151
1432708,1018695,2131
1442047,1018695,151
1442047,1018695,2741
1461378,1018695,151
1461378,1018695,2741
1507970,1018695,151
1510938,1018695,151
1510938,1018695,2741
1533940,1018695,151
1020562,1018705,4018
1025365,1018705,151
1018695,1018732,151
1018695,1018732,2741
1018977,1018732,2161
1018977,1018732,2741
1018980,1018732,151
1018980,1018732,2161
1018980,1018732,2741
1019016,1018732,2161
1019016,1018732,2741
1019120,1018732,151
1019120,1018732,2161
1019120,1018732,2741
1019183,1018732,151
1019183,1018732,2161
1019183,1018732,2741
1019334,1018732,151
1019334,1018732,2741
1019541,1018732,151
1019541,1018732,2161
1019541,1018732,2741
1019847,1018732,2253
1020215,1018732,151
1020215,1018732,2161
1020215,1018732,2741
1020585,1018732,2161
1020627,1018732,2741
1020717,1018732,2161
1020960,1018732,151
1020960,1018732,2161
1020960,1018732,2741
1021184,1018732,151
1021184,1018732,2161
1021184,1018732,2741
1021192,1018732,151
1021192,1018732,2741
1021257,1018732,151
1021257,1018732,2741
1021389,1018732,151
1021389,1018732,2741
1021497,1018732,2161
1021497,1018732,2741
1022345,1018732,2161
1022509,1018732,151
1022509,1018732,2741
1022709,1018732,151
1022709,1018732,2741
1022920,1018732,151
1022920,1018732,2161
1022920,1018732,2741
1022938,1018732,151
1022938,1018732,2161
1022938,1018732,2741
1022952,1018732,151
1022952,1018732,2161
1022952,1018732,2741
1022964,1018732,2161
1022964,1018732,2741
1023156,1018732,151
1023156,1018732,2161
1023156,1018732,2741
1023362,1018732,151
1023362,1018732,2161
1023362,1018732,2741
1023763,1018732,151
1023763,1018732,2161
1023763,1018732,2741
1023836,1018732,151
1023836,1018732,2741
1024241,1018732,151
1024241,1018732,2741
1024286,1018732,151
1024286,1018732,2741
1024709,1018732,151
1024709,1018732,2161
1024709,1018732,2741
1024792,1018732,151
1024792,1018732,2161
1024792,1018732,2741
1024834,1018732,151
1024834,1018732,2161
1024834,1018732,2741
1025549,1018732,151
1025549,1018732,2741
1025571,1018732,2161
1025571,1018732,2741
1025603,1018732,151
1025603,1018732,2741
1025666,1018732,151
1025666,1018732,2161
1025666,1018732,2741
1025701,1018732,151
1025701,1018732,2741
1025757,1018732,151
1025757,1018732,2741
1025998,1018732,151
1025998,1018732,2161
1025998,1018732,2741
1026034,1018732,151
1026034,1018732,2741
1026120,1018732,151
1026120,1018732,2161
1026120,1018732,2741
1026145,1018732,2161
1026145,1018732,2741
1026301,1018732,151
1026301,1018732,2161
1026301,1018732,2741
1026332,1018732,151
1026332,1018732,2741
1026334,1018732,151
1026334,1018732,2161
1026334,1018732,2741
1027399,1018732,151
1027399,1018732,2161
1027399,1018732,2741
1027538,1018732,151
1027538,1018732,2161
1027538,1018732,2741
1027569,1018732,151
1027569,1018732,2161
1027569,1018732,2741
1027647,1018732,151
1027647,1018732,2161
1027647,1018732,2741
1028233,1018732,151
1028233,1018732,2161
1028233,1018732,2741
1028607,1018732,151
1028607,1018732,2161
1028607,1018732,2741
1028723,1018732,151
1028723,1018732,2161
1028723,1018732,2741
1029049,1018732,2526
1029049,1018732,2741
1029180,1018732,151
1029180,1018732,2161
1029180,1018732,2741
1029223,1018732,151
1029223,1018732,2741
1029405,1018732,151
1029405,1018732,2161
1029405,1018732,2741
1029678,1018732,151
1029678,1018732,2161
1029678,1018732,2741
1029714,1018732,151
1029714,1018732,2161
1029714,1018732,2741
1029741,1018732,2161
1029741,1018732,2741
1029793,1018732,151
1029793,1018732,2161
1029793,1018732,2741
1030079,1018732,151
1030079,1018732,2741
1038768,1018732,2161
1038768,1018732,2741
1042028,1018732,2161
1042028,1018732,2892
1042098,1018732,151
1042098,1018732,2741
1047817,1018732,151
1047817,1018732,2161
1047817,1018732,2741
1064235,1018732,151
1064235,1018732,2741
1097986,1018732,151
1097986,1018732,2161
1097986,1018732,2741
1112521,1018732,2161
1112521,1018732,2741
1113636,1018732,151
1113636,1018732,2741
1134091,1018732,151
1138092,1018732,151
1138092,1018732,2161
1138092,1018732,2741
1155255,1018732,151
1232791,1018732,151
1232791,1018732,2741
1262720,1018732,151
1262720,1018732,2161
1262720,1018732,2741
1266560,1018732,151
1266560,1018732,2741
1312311,1018732,151
1312311,1018732,2741
1327619,1018732,151
1327619,1018732,2161
1327619,1018732,2741
1353136,1018732,151
1353136,1018732,2741
1381926,1018732,151
1381926,1018732,2161
1381926,1018732,2741
1405453,1018732,151
1405453,1018732,2741
1409157,1018732,151
1409157,1018732,2161
1409157,1018732,2741
1426069,1018732,151
1426069,1018732,2741
1432708,1018732,151
1432708,1018732,2741
1442047,1018732,151
1442047,1018732,2161
1442047,1018732,2741
1461378,1018732,151
1461378,1018732,2161
1461378,1018732,2741
1507970,1018732,151
1510938,1018732,151
1510938,1018732,2161
1510938,1018732,2741
1533940,1018732,151
1023364,1018794,7701
1024569,1018794,10683
1024573,1018794,10683
1024578,1018794,12601
1026351,1018794,11809
1026949,1018794,12631
1027564,1018794,11444
1027858,1018794,7701
1028829,1018794,7701
1028997,1018794,12693
1029334,1018794,12723
1029334,1018794,13514
1018688,1018822,9162
1019395,1018822,9162
1020356,1018822,10897
1020820,1018822,9162
1021266,1018822,9162
1023736,1018822,9162
1025571,1018822,9162
1027236,1018822,9162
1027301,1018822,9162
1277749,1018822,9162
1020167,1018860,3165
1020167,1018860,3592
1022062,1018860,1917
1024638,1018860,3500
1024638,1018860,3592
1025920,1018860,3592
1027181,1018860,3865
1029875,1018860,3592
1029875,1018860,4442
1059028,1018860,3712
1277720,1018860,2039
1277720,1018860,3592
1461627,1018860,4230
1030186,1018910,273
1027371,1018927,10197
1035537,1018927,2769
1485842,1018927,10197
1018977,1018973,486
1018980,1018973,486
1019016,1018973,486
1019079,1018973,2922
1019120,1018973,486
1020383,1018973,578
1020383,1018973,10196
1020960,1018973,486
1022345,1018973,486
1022938,1018973,486
1023174,1018973,456
1023763,1018973,486
1024697,1018973,1308
1024792,1018973,486
1025571,1018973,486
1025666,1018973,486
1025998,1018973,486
1026145,1018973,486
1026211,1018973,2922
1026301,1018973,486
1026403,1018973,456
1026805,1018973,456
1027442,1018973,6118
1027538,1018973,486
1028132,1018973,821
1028233,1018973,486
1028607,1018973,486
1029140,1018973,851
1029714,1018973,486
1029717,1018973,456
1029741,1018973,486
1029793,1018973,486
1030131,1018973,2922
1030148,1018973,5388
1042028,1018973,486
1050956,1018973,456
1088477,1018973,2922
1097986,1018973,486
1112521,1018973,486
1138092,1018973,486
1256987,1018973,1065
1381926,1018973,486
1018732,1018977,2161
1018732,1018977,2741
1018973,1018977,486
1018980,1018977,486
1018980,1018977,2741
1018980,1018977,9618
1019016,1018977,486
1019016,1018977,1706
1019016,1018977,6908
1019120,1018977,486
1019120,1018977,2741
1019120,1018977,6908
1019183,1018977,486
1019183,1018977,2741
1019334,1018977,2741
1019541,1018977,486
1019541,1018977,2741
1020215,1018977,2161
1020215,1018977,2741
1020383,1018977,578
1020627,1018977,1887
1020960,1018977,486
1020960,1018977,2741
1020960,1018977,6908
1021184,1018977,2161
1021184,1018977,2741
1021257,1018977,2741
1021389,1018977,2741
1021497,1018977,486
1021497,1018977,2618
1022345,1018977,486
1022509,1018977,2741
1022709,1018977,2741
1022920,1018977,1096
1022920,1018977,2741
1022938,1018977,486
1022938,1018977,2741
1022938,1018977,9041
1022952,1018977,486
1022952,1018977,2741
1022964,1018977,700
1022964,1018977,2314
1023156,1018977,2161
1023156,1018977,2741
1023174,1018977,486
1023362,1018977,1157
1023362,1018977,2741
1023763,1018977,486
1023763,1018977,2741
1023763,1018977,9588
1024241,1018977,2741
1024286,1018977,2741
1024697,1018977,1308
1024709,1018977,486
1024709,1018977,2741
1024792,1018977,486
1024792,1018977,2741
1024792,1018977,9284
1024834,1018977,2161
1024834,1018977,2741
1025549,1018977,2741
1025571,1018977,486
1025571,1018977,1706
1025571,1018977,6908
1025603,1018977,2741
1025666,1018977,486
1025666,1018977,2741
1025666,1018977,7458
1025757,1018977,2741
1025998,1018977,486
1025998,1018977,2741
1025998,1018977,9557
1026034,1018977,2741
1026120,1018977,2161
1026120,1018977,2741
1026145,1018977,486
1026145,1018977,1887
1026145,1018977,7854
1026301,1018977,486
1026301,1018977,2741
1026301,1018977,9557
1026332,1018977,2741
1026334,1018977,2161
1026334,1018977,2741
1026403,1018977,486
1026805,1018977,486
1027399,1018977,2161
1027399,1018977,2741
1027538,1018977,486
1027538,1018977,2741
1027538,1018977,7092
1027569,1018977,2161
1027569,1018977,2741
1027647,1018977,486
1027647,1018977,2741
1028132,1018977,821
1028233,1018977,486
1028233,1018977,2741
1028233,1018977,8400
1028607,1018977,486
1028607,1018977,2741
1028607,1018977,6908
1028723,1018977,2161
1028723,1018977,2741
1029049,1018977,2526
1029049,1018977,2527
1029140,1018977,851
1029180,1018977,2131
1029180,1018977,2741
1029223,1018977,2741
1029405,1018977,2161
1029405,1018977,2741
1029678,1018977,2161
1029678,1018977,2741
1029714,1018977,486
1029714,1018977,2741
1029714,1018977,6908
1029717,1018977,486
1029741,1018977,486
1029741,1018977,1706
1029741,1018977,6908
1029793,1018977,486
1029793,1018977,2741
1029793,1018977,8127
1038768,1018977,1706
1038768,1018977,2161
1042028,1018977,486
1042028,1018977,2892
1042028,1018977,6908
1042098,1018977,2741
1047817,1018977,486
1047817,1018977,2741
1050956,1018977,486
1097986,1018977,486
1097986,1018977,2741
1097986,1018977,6908
1112521,1018977,486
1112521,1018977,1706
1112521,1018977,9100
1138092,1018977,486
1138092,1018977,2741
1138092,1018977,6908
1256987,1018977,1065
1262720,1018977,2161
1262720,1018977,2741
1266560,1018977,2741
1327619,1018977,486
1327619,1018977,2741
1381926,1018977,486
1381926,1018977,2741
1381926,1018977,6908
1409157,1018977,700
1409157,1018977,2161
1409157,1018977,2741
1442047,1018977,820
1442047,1018977,2741
1461378,1018977,2161
1461378,1018977,2741
1510938,1018977,1004
1510938,1018977,2741
1018695,1018980,151
1018695,1018980,2741
1018732,1018980,151
1018732,1018980,2161
1018732,1018980,2741
1018973,1018980,486
1018977,1018980,486
1018977,1018980,2741
1018977,1018980,9618
1019016,1018980,486
1019016,1018980,2741
1019016,1018980,9618
1019120,1018980,151
1019120,1018980,486
1019120,1018980,2741
1019120,1018980,9618
1019183,1018980,151
1019183,1018980,486
1019183,1018980,2741
1019334,1018980,151
1019334,1018980,2741
1019541,1018980,151
1019541,1018980,486
1019541,1018980,2741
1020215,1018980,151
1020215,1018980,2161
1020215,1018980,2741
1020383,1018980,578
1020627,1018980,2741
1020960,1018980,151
1020960,1018980,486
1020960,1018980,2741
1020960,1018980,9618
1021184,1018980,151
1021184,1018980,2161
1021184,1018980,2741
1021192,1018980,151
1021192,1018980,2741
1021257,1018980,151
1021257,1018980,2741
1021389,1018980,151
1021389,1018980,2741
1021497,1018980,486
1021497,1018980,2741
1022345,1018980,486
1022509,1018980,151
1022509,1018980,2741
1022709,1018980,151
1022709,1018980,2741
1022920,1018980,151
1022920,1018980,1096
1022920,1018980,2741
1022938,1018980,151
1022938,1018980,486
1022938,1018980,2741
1022938,1018980,9618
1022952,1018980,151
1022952,1018980,486
1022952,1018980,2741
1022964,1018980,700
1022964,1018980,2741
1023156,1018980,151
1023156,1018980,2161
1023156,1018980,2741
1023174,1018980,486
1023362,1018980,151
1023362,1018980,1157
1023362,1018980,2741
1023763,1018980,151
1023763,1018980,486
1023763,1018980,2741
1023763,1018980,9618
1023836,1018980,151
1023836,1018980,2741
1024241,1018980,151
1024241,1018980,2741
1024286,1018980,151
1024286,1018980,2741
1024697,1018980,1308
1024709,1018980,151
1024709,1018980,486
1024709,1018980,2741
1024792,1018980,151
1024792,1018980,486
1024792,1018980,2741
1024792,1018980,9618
1024834,1018980,151
1024834,1018980,2161
1024834,1018980,2741
1025549,1018980,151
1025549,1018980,2741
1025571,1018980,486
1025571,1018980,2741
1025571,1018980,9618
1025603,1018980,151
1025603,1018980,2741
1025666,1018980,151
1025666,1018980,486
1025666,1018980,2741
1025666,1018980,9618
1025701,1018980,151
1025701,1018980,2741
1025757,1018980,151
1025757,1018980,2741
1025998,1018980,151
1025998,1018980,486
1025998,1018980,2741
1025998,1018980,9618
1026034,1018980,151
1026034,1018980,2741
1026120,1018980,151
1026120,1018980,2161
1026120,1018980,2741
1026145,1018980,486
1026145,1018980,2741
1026145,1018980,9618
1026301,1018980,151
1026301,1018980,486
1026301,1018980,2741
1026301,1018980,9618
1026332,1018980,151
1026332,1018980,2741
1026334,1018980,151
1026334,1018980,2161
1026334,1018980,2741
1026403,1018980,486
1026805,1018980,486
1027399,1018980,151
1027399,1018980,2161
1027399,1018980,2741
1027538,1018980,151
1027538,1018980,486
1027538,1018980,2741
1027538,1018980,9618
1027569,1018980,151
1027569,1018980,2161
1027569,1018980,2741
1027647,1018980,151
1027647,1018980,486
1027647,1018980,2741
1028132,1018980,821
1028233,1018980,151
1028233,1018980,486
1028233,1018980,2741
1028233,1018980,9618
1028607,1018980,151
1028607,1018980,486
1028607,1018980,2741
1028607,1018980,9618
1028723,1018980,151
1028723,1018980,2161
1028723,1018980,2741
1029049,1018980,2526
1029049,1018980,2741
1029140,1018980,851
1029180,1018980,151
1029180,1018980,2131
1029180,1018980,2741
1029223,1018980,151
1029223,1018980,2741
1029405,1018980,151
1029405,1018980,2161
1029405,1018980,2741
1029678,1018980,151
1029678,1018980,2161
1029678,1018980,2741
1029714,1018980,151
1029714,1018980,486
1029714,1018980,2741
1029714,1018980,9618
1029717,1018980,486
1029741,1018980,486
1029741,1018980,2741
1029741,1018980,9618
1029793,1018980,151
1029793,1018980,486
1029793,1018980,2741
1029793,1018980,9618
1030079,1018980,151
1030079,1018980,2741
1038768,1018980,2161
1038768,1018980,2741
1042028,1018980,486
1042028,1018980,2892
1042028,1018980,9618
1042098,1018980,151
1042098,1018980,2741
1047817,1018980,151
1047817,1018980,486
1047817,1018980,2741
1050956,1018980,486
1064235,1018980,151
1064235,1018980,2741
1097986,1018980,151
1097986,1018980,486
1097986,1018980,2741
1097986,1018980,9618
1112521,1018980,486
1112521,1018980,2741
1112521,1018980,9618
1113636,1018980,151
1113636,1018980,2741
1134091,1018980,151
1138092,1018980,151
1138092,1018980,486
1138092,1018980,2741
1138092,1018980,9618
1155255,1018980,151
1232791,1018980,151
1232791,1018980,2741
1256987,1018980,1065
1262720,1018980,151
1262720,1018980,2161
1262720,1018980,2741
1266560,1018980,151
1266560,1018980,2741
1312311,1018980,151
1312311,1018980,2741
1327619,1018980,151
1327619,1018980,486
1327619,1018980,2741
1353136,1018980,151
1353136,1018980,2741
1381926,1018980,151
1381926,1018980,486
1381926,1018980,2741
1381926,1018980,9618
1405453,1018980,151
1405453,1018980,2741
1409157,1018980,151
1409157,1018980,700
1409157,1018980,2161
1409157,1018980,2741
1426069,1018980,151
1426069,1018980,2741
1432708,1018980,151
1432708,1018980,2741
1442047,1018980,151
1442047,1018980,820
1442047,1018980,2741
1461378,1018980,151
1461378,1018980,2161
1461378,1018980,2741
1507970,1018980,151
1510938,1018980,151
1510938,1018980,1004
1510938,1018980,2741
1533940,1018980,151
1018732,1019016,2161
1018732,1019016,2741
1018973,1019016,486
1018977,1019016,486
1018977,1019016,1706
1018977,1019016,6908
1018980,1019016,486
1018980,1019016,2741
1018980,1019016,9618
1019120,1019016,486
1019120,1019016,2741
1019120,1019016,6543
1019183,1019016,486
1019183,1019016,2741
1019334,1019016,2741
1019541,1019016,486
1019541,1019016,2741
1020215,1019016,2161
1020215,1019016,2741
1020383,1019016,578
1020627,1019016,1887
1020960,1019016,486
1020960,1019016,2741
1020960,1019016,4078
1021184,1019016,2161
1021184,1019016,2741
1021257,1019016,2741
1021389,1019016,2741
1021497,1019016,486
1021497,1019016,2618
1022345,1019016,486
1022509,1019016,2741
1022709,1019016,2741
1022920,1019016,1096
1022920,1019016,2741
1022938,1019016,486
1022938,1019016,2741
1022938,1019016,9041
1022952,1019016,486
1022952,1019016,2741
1022964,1019016,700
1022964,1019016,2314
1023156,1019016,2161
1023156,1019016,2741
1023174,1019016,486
1023362,1019016,1157
1023362,1019016,2741
1023763,1019016,486
1023763,1019016,2741
1023763,1019016,9588
1024241,1019016,2741
1024286,1019016,2741
1024697,1019016,1308
1024709,1019016,486
1024709,1019016,2741
1024792,1019016,486
1024792,1019016,2741
1024792,1019016,9284
1024834,1019016,2161
1024834,1019016,2741
1025549,1019016,2741
1025571,1019016,486
1025571,1019016,1280
1025571,1019016,3958
1025603,1019016,2741
1025666,1019016,486
1025666,1019016,2741
1025666,1019016,7458
1025757,1019016,2741
1025998,1019016,486
1025998,1019016,2741
1025998,1019016,9557
1026034,1019016,2741
1026120,1019016,2161
1026120,1019016,2741
1026145,1019016,486
1026145,1019016,1887
1026145,1019016,7854
1026301,1019016,486
1026301,1019016,2741
1026301,1019016,9557
1026332,1019016,2741
1026334,1019016,2161
1026334,1019016,2741
1026403,1019016,486
1026805,1019016,486
1027399,1019016,2161
1027399,1019016,2741
1027538,1019016,486
1027538,1019016,2741
1027538,1019016,7092
1027569,1019016,2161
1027569,1019016,2741
1027647,1019016,486
1027647,1019016,2741
1028132,1019016,821
1028233,1019016,486
1028233,1019016,2741
1028233,1019016,8400
1028607,1019016,486
1028607,1019016,2741
1028607,1019016,6484
1028723,1019016,2161
1028723,1019016,2741
1029049,1019016,2526
1029049,1019016,2527
1029140,1019016,851
1029180,1019016,2131
1029180,1019016,2741
1029223,1019016,2741
1029405,1019016,2161
1029405,1019016,2741
1029678,1019016,2161
1029678,1019016,2741
1029714,1019016,486
1029714,1019016,2741
1029714,1019016,3440
1029717,1019016,486
1029741,1019016,486
1029741,1019016,1280
1029741,1019016,6301
1029793,1019016,486
1029793,1019016,2741
1029793,1019016,8127
1038768,1019016,1280
1038768,1019016,2161
1042028,1019016,486
1042028,1019016,2892
1042028,1019016,4962
1042098,1019016,2741
1047817,1019016,486
1047817,1019016,2741
1050956,1019016,486
1097986,1019016,486
1097986,1019016,2741
1097986,1019016,6515
1112521,1019016,486
1112521,1019016,1280
1112521,1019016,9100
1138092,1019016,486
1138092,1019016,2741
1138092,1019016,5235
1141253,1019016,1612
1256987,1019016,1065
1262720,1019016,2161
1262720,1019016,2741
1266560,1019016,2741
1327619,1019016,486
1327619,1019016,2741
1381926,1019016,486
1381926,1019016,2741
1381926,1019016,3440
1409157,1019016,700
1409157,1019016,2161
1409157,1019016,2741
1442047,1019016,820
1442047,1019016,2741
1461378,1019016,2161
1461378,1019016,2741
1510938,1019016,1004
1510938,1019016,2741
1023154,1019043,2223
1027864,1019043,1127
1236433,1019064,6270
1018973,1019079,2922
1026211,1019079,2404
1027442,1019079,6118
1030131,1019079,821
1030148,1019079,5388
1088477,1019079,1035
1021759,1019086,6269
1023865,1019086,6269
1019594,1019111,4626
1023344,1019111,2769
1023557,1019111,3165
1023866,1019111,2527
1024930,1019111,7183
1027323,1019111,2769
1027371,1019111,2769
1057151,1019111,6787
1196095,1019111,7701
1246315,1019111,2527
1336365,1019111,10989
1485842,1019111,2769
1024271,1019117,6209
1026072,1019117,6209
1027565,1019117,6209
1050956,1019117,6209
1375151,1019117,6209
1018695,1019120,151
1018695,1019120,2741
1018732,1019120,151
1018732,1019120,2161
1018732,1019120,2741
1018973,1019120,486
1018977,1019120,486
1018977,1019120,2741
1018977,1019120,6908
1018980,1019120,151
1018980,1019120,486
1018980,1019120,2741
1018980,1019120,9618
1019016,1019120,486
1019016,1019120,2741
1019016,1019120,6543
1019183,1019120,151
1019183,1019120,486
1019183,1019120,2741
1019334,1019120,151
1019334,1019120,2741
1019541,1019120,151
1019541,1019120,486
1019541,1019120,2741
1020215,1019120,151
1020215,1019120,2161
1020215,1019120,2741
1020383,1019120,578
1020627,1019120,2741
1020960,1019120,151
1020960,1019120,486
1020960,1019120,2741
1020960,1019120,6543
1021184,1019120,151
1021184,1019120,2161
1021184,1019120,2741
1021192,1019120,151
1021192,1019120,2741
1021257,1019120,151
1021257,1019120,2741
1021389,1019120,151
1021389,1019120,2741
1021497,1019120,486
1021497,1019120,2741
1022345,1019120,486
1022509,1019120,151
1022509,1019120,2741
1022709,1019120,151
1022709,1019120,2741
1022920,1019120,151
1022920,1019120,1096
1022920,1019120,2741
1022938,1019120,151
1022938,1019120,486
1022938,1019120,2741
1022938,1019120,9041
1022952,1019120,151
1022952,1019120,486
1022952,1019120,2741
1022964,1019120,700
